排名,名称,评分,评价人数,影评,链接
96,加勒比海盗,8.8,865841人评价,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
97,哈利·波特与密室,8.9,766010人评价,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
98,一一,9.1,398282人评价,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
99,狩猎,9.1,395381人评价,人言可畏。,https://movie.douban.com/subject/6985810/
100,唐伯虎点秋香,8.7,1088536人评价,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
101,7号房的礼物,8.9,561257人评价,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
102,被嫌弃的松子的一生,8.9,707786人评价,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
103,请以你的名字呼唤我,8.9,728293人评价,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
104,蝙蝠侠：黑暗骑士崛起,8.8,728064人评价,诺兰就是保证。,https://movie.douban.com/subject/3395373/
105,断背山,8.8,711007人评价,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
106,剪刀手爱德华,8.7,1040205人评价,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
107,爱在黎明破晓前,8.8,689432人评价,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
108,入殓师,8.9,671744人评价,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
109,勇敢的心,8.9,561258人评价,史诗大片的典范。,https://movie.douban.com/subject/1294639/
110,第六感,8.9,560057人评价,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
111,重庆森林,8.8,817025人评价,寂寞没有期限。,https://movie.douban.com/subject/1291999/
112,超能陆战队,8.7,1022155人评价,Balalala~~~,https://movie.douban.com/subject/11026735/
113,幽灵公主,8.9,527895人评价,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
114,甜蜜蜜,8.9,559146人评价,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
115,爱在日落黄昏时,8.9,566092人评价,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
116,菊次郎的夏天,8.9,600619人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
117,借东西的小人阿莉埃蒂,8.9,558064人评价,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
118,消失的爱人,8.7,960551人评价,年度最佳date movie。,https://movie.douban.com/subject/21318488/
119,天使爱美丽,8.7,958440人评价,法式小清新。 ,https://movie.douban.com/subject/1292215/
120,阳光灿烂的日子,8.8,618234人评价,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
121,完美的世界,9.1,317574人评价,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
122,小森林 夏秋篇,9.0,428724人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
123,寄生虫,8.8,1379500人评价,暂无,https://movie.douban.com/subject/27010768/
124,无人知晓,9.1,321750人评价,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
125,倩女幽魂,8.8,742992人评价,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
126,时空恋旅人,8.8,679230人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
127,侧耳倾听,8.9,466323人评价,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
128,幸福终点站,8.8,575357人评价,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
129,小森林 冬春篇,9.0,381763人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
130,驯龙高手,8.8,761013人评价,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
131,未麻的部屋,9.1,337239人评价,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
132,一个叫欧维的男人决定去死,8.9,487573人评价,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
133,哈利·波特与火焰杯,8.8,668169人评价,暂无,https://movie.douban.com/subject/1309055/
134,教父3,9.0,377569人评价,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
135,怪兽电力公司,8.8,677951人评价,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
136,萤火之森,8.9,543971人评价,触不到的恋人。,https://movie.douban.com/subject/5989818/
137,傲慢与偏见,8.7,807106人评价,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
138,玩具总动员3,8.9,521957人评价,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
139,新世界,8.9,440342人评价,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
140,釜山行,8.6,1208047人评价,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
141,神偷奶爸,8.7,953887人评价,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
142,被解救的姜戈,8.8,613294人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
143,玛丽和马克思,9.0,423517人评价,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
144,告白,8.8,675327人评价,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
145,哪吒闹海,9.2,262145人评价,想你时你在闹海。,https://movie.douban.com/subject/1307315/
146,茶馆,9.6,149295人评价,暂无,https://movie.douban.com/subject/1461403/
147,大鱼,8.8,571463人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
148,九品芝麻官,8.7,686447人评价,暂无,https://movie.douban.com/subject/1297518/
149,喜宴,9.0,365846人评价,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
150,模仿游戏,8.8,651795人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
151,射雕英雄传之东成西就,8.7,641701人评价,百看不厌。 ,https://movie.douban.com/subject/1316510/
152,头号玩家,8.7,1377264人评价,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
153,色，戒,8.7,815869人评价,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
154,花样年华,8.7,612918人评价,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
155,我是山姆,9.0,340055人评价,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
156,阳光姐妹淘,8.8,593071人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
157,头脑特工队,8.8,620179人评价,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
158,血战钢锯岭,8.7,787293人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
159,七武士,9.3,199818人评价,时代悲歌。,https://movie.douban.com/subject/1295399/
160,恐怖直播,8.7,656077人评价,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
